input_text,target_summary
"User: What was the Inca Empire?\nAI: The Inca Empire was a South American civilization known for its architecture and roads.","The user asked about the Inca Empire."
"User: How do I clean a cast iron skillet?\nAI: Scrub with salt, rinse, dry thoroughly, and apply a thin layer of oil.","The user asked how to clean a cast iron skillet."
"User: What is a photon?\nAI: A photon is a particle of light carrying energy.","The user asked about photons."
"User: How do I make a flower arrangement?\nAI: Choose flowers, trim stems, and arrange in a vase with water.","The user asked how to make a flower arrangement."
"User: What is the Petra?\nAI: Petra is an ancient city in Jordan, famous for its rock-cut architecture.","The user asked about Petra."
"User: How do I make granola?\nAI: Mix oats, nuts, and honey, then bake until golden.","The user asked how to make granola."
"User: What is a message queue?\nAI: A message queue is a system for asynchronous communication between services.","The user asked about message queues."
"User: Who was Ibn Battuta?\nAI: Ibn Battuta was a 14th-century Moroccan explorer who traveled extensively.","The user asked about Ibn Battuta."
"User: What is a biome?\nAI: A biome is a large ecological area with distinct climate and organisms.","The user asked about biomes."
"User: How do I practice yoga at home?\nAI: Follow online videos, use a mat, and start with basic poses.","The user asked how to practice yoga at home."
"User: What is the Yellowstone National Park?\nAI: Yellowstone is a U.S. national park known for its geysers and wildlife.","The user asked about Yellowstone National Park."
"User: How do I make a quesadilla?\nAI: Layer cheese and fillings on a tortilla, cook until crispy, and slice.","The user asked how to make a quesadilla."
"User: What is Terraform?\nAI: Terraform is a tool for automating infrastructure setup using code.","The user asked about Terraform."
"User: What was the Meiji Restoration?\nAI: The Meiji Restoration was a 19th-century event that modernized Japan.","The user asked about the Meiji Restoration."
"User: How do I care for leather shoes?\nAI: Clean with a damp cloth, apply polish, and store properly.","The user asked how to care for leather shoes."
"User: What is an enzyme?\nAI: An enzyme is a protein that speeds up chemical reactions in the body.","The user asked about enzymes."
"User: How do I make a photo collage?\nAI: Gather images, arrange on a canvas, and use software to finalize.","The user asked how to make a photo collage."
"User: What is the Alhambra?\nAI: The Alhambra is a palace and fortress in Spain, known for its Islamic architecture.","The user asked about the Alhambra."
"User: How do I make a frittata?\nAI: Whisk eggs, add vegetables and cheese, and bake until set.","The user asked how to make a frittata."
"User: What is a microservice?\nAI: A microservice is a small, independent component of a larger application.","The user asked about microservices."
"User: Who was Harriet Tubman?\nAI: Harriet Tubman was an abolitionist who led enslaved people to freedom via the Underground Railroad.","The user asked about Harriet Tubman."
"User: What is a stalactite?\nAI: A stalactite is a mineral formation hanging from cave ceilings.","The user asked about stalactites."
"User: How do I improve my sleep quality?\nAI: Maintain a routine, avoid screens before bed, and create a dark room.","The user asked how to improve sleep quality."
"User: What is the Forbidden City?\nAI: The Forbidden City is a historic palace complex in Beijing, China.","The user asked about the Forbidden City."
"User: How do I make a wrap?\nAI: Spread fillings on a tortilla, add protein and veggies, and roll tightly.","The user asked how to make a wrap."
"User: What is Ansible?\nAI: Ansible is a tool for automating server configuration and management.","The user asked about Ansible."
"User: What was the Harlem Renaissance?\nAI: The Harlem Renaissance was a 1920s cultural movement celebrating African American art.","The user asked about the Harlem Renaissance."
"User: How do I clean a blender?\nAI: Blend water with soap, rinse thoroughly, and dry.","The user asked how to clean a blender."
"User: What is a magnetosphere?\nAI: A magnetosphere is a region around a planet influenced by its magnetic field.","The user asked about magnetospheres."
"User: How do I make a bookmark?\nAI: Cut cardstock, decorate with markers or stickers, and punch a hole for a ribbon.","The user asked how to make a bookmark."
"User: What is the Terracotta Army?\nAI: The Terracotta Army is a collection of ancient Chinese sculptures buried with Emperor Qin.","The user asked about the Terracotta Army."
"User: How do I make a taco?\nAI: Fill a tortilla with seasoned meat, lettuce, cheese, and salsa.","The user asked how to make a taco."
"User: What is a design pattern?\nAI: A design pattern is a reusable solution to common software engineering problems.","The user asked about design patterns."
"User: Who was Malala Yousafzai?\nAI: Malala Yousafzai is an activist for girls’ education and a Nobel Peace Prize winner.","The user asked about Malala Yousafzai."
"User: What is a wetland?\nAI: A wetland is an area saturated with water, supporting unique ecosystems.","The user asked about wetlands."
"User: How do I practice public speaking?\nAI: Rehearse speeches, record yourself, and join a group like Toastmasters.","The user asked how to practice public speaking."
"User: What is the Everglades?\nAI: The Everglades is a unique wetland ecosystem in Florida, known for its biodiversity.","The user asked about the Everglades."
"User: How do I make a parfait?\nAI: Layer yogurt, granola, and fruit in a glass for a healthy dessert.","The user asked how to make a parfait."
"User: What is a regex?\nAI: A regex is a pattern for matching and manipulating text strings.","The user asked about regular expressions."
"User: What was the Silk Route?\nAI: The Silk Route was an ancient trade network connecting Asia and Europe.","The user asked about the Silk Route."
"User: How do I clean jewelry?\nAI: Soak in warm water with mild soap, scrub gently, and dry with a soft cloth.","The user asked how to clean jewelry."
"User: What is a neurotransmitter?\nAI: A neurotransmitter is a chemical that transmits signals between neurons.","The user asked about neurotransmitters."
"User: How do I make a greeting card?\nAI: Fold cardstock, decorate with drawings or stickers, and write a message.","The user asked how to make a greeting card."
"User: What is the Giza Plateau?\nAI: The Giza Plateau is an Egyptian site home to the Great Pyramids and Sphinx.","The user asked about the Giza Plateau."
"User: How do I make a curry?\nAI: Sauté spices, add vegetables and protein, and simmer in coconut milk.","The user asked how to make a curry."
"User: What is OAuth?\nAI: OAuth is a protocol for secure authorization between applications.","The user asked about OAuth."
"User: Who was Toussaint Louverture?\nAI: Toussaint Louverture was a leader of the Haitian Revolution in the late 18th century.","The user asked about Toussaint Louverture."
"User: What is a savanna?\nAI: A savanna is a grassland ecosystem with scattered trees and warm climates.","The user asked about savannas."
"User: How do I improve my confidence?\nAI: Set small goals, practice self-affirmations, and face challenges gradually.","The user asked how to improve confidence."
"User: What is the Okavango Delta?\nAI: The Okavango Delta is a unique inland delta in Botswana, rich in wildlife.","The user asked about the Okavango Delta."
"User: How do I make a milk tea?\nAI: Brew tea, add milk and sweetener, and serve hot or iced.","The user asked how to make a milk tea."
"User: What is a neural network?\nAI: A neural network is a computational model inspired by the brain, used in AI.","The user asked about neural networks."
"User: What was the Gupta Empire?\nAI: The Gupta Empire was an ancient Indian empire known for its golden age of culture.","The user asked about the Gupta Empire."
"User: How do I clean a mirror?\nAI: Spray with glass cleaner and wipe with a lint-free cloth.","The user asked how to clean a mirror."
"User: What is a catalyst?\nAI: A catalyst is a substance that speeds up a chemical reaction without being consumed.","The user asked about catalysts."
"User: How do I make a kite?\nAI: Build a frame with sticks, attach paper or fabric, and add a string.","The user asked how to make a kite."
"User: What is the Borobudur?\nAI: Borobudur is a 9th-century Buddhist temple in Indonesia, known for its stupas.","The user asked about Borobudur."
"User: How do I make a salad?\nAI: Toss greens, vegetables, and protein with dressing in a bowl.","The user asked how to make a salad."
"User: What is a binary tree?\nAI: A binary tree is a data structure where each node has up to two children.","The user asked about binary trees."
"User: Who was Angela Davis?\nAI: Angela Davis is an activist and scholar known for her work in civil rights.","The user asked about Angela Davis."
"User: What is a fjord?\nAI: A fjord is a narrow inlet of the sea between cliffs, formed by glaciers.","The user asked about fjords."
"User: How do I improve my decision-making?\nAI: Weigh pros and cons, gather information, and trust your instincts.","The user asked how to improve decision-making."
"User: What is the Great Zimbabwe?\nAI: Great Zimbabwe is an ancient stone city in southern Africa, built by the Shona people.","The user asked about Great Zimbabwe."
